　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　
　,　,　,　,　,▲,＿,＿,＿,＿,▲,　,　,　,　,　
　,　,　,　,　,｜,　,　,　,　,｜,　,　,　,　,　
　,　,　,　,　,｜,▼,　,　,▼,｜,　,　,　,　,　
　,　,　,　,　,｜,　,　,　,　,｜,　,　,　,　,　
　,　,　,　,　,｜,　,╰,╯,　,｜,　,　,　,　,　
　,　,　,　,　,｜,＿,＿,＿,＿,｜,　,　,　,　,　
＝,＝,＝,＝,＝,＝,＝,＝,＝,＝,＝,＝,＝,＝,＝,＝
‖,　,　,　,　,　,　,　,　,　,　,　,　,　,　,‖
‖,　,　,　,　,　,　,　,　,　,　,　,　,　,　,‖
‖,　,　,　,　,　,　,　,　,　,　,　,　,　,　,‖
‖,　,　,　,　,　,　,　,　,　,　,　,　,　,　,‖
‖,　,　,　,　,　,　,　,　,　,　,　,　,　,　,‖
‖,　,　,　,　,　,　,　,　,　,　,　,　,　,　,‖
＝,＝,＝,＝,＝,＝,＝,＝,＝,＝,＝,＝,＝,＝,＝,＝
